"id","fqdn/ip","port","severity","finding","cve","cwe"
"HSTS_time","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","730 days (=63072000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","only for this domain","",""
"HSTS_preload","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","domain is NOT marked for preloading","",""
"HPKP","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","envoy","",""
"banner_application","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","x-powered-by: Next.js","",""
"cookie_count","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","0 at '/'","",""
"X-Frame-Options","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","DENY","",""
"X-Content-Type-Options","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","nosniff","",""
"Content-Security-Policy","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","default-src 'self' https://matomo.incubateur.anct.gouv.fr https://sentry.incubateur.net; script-src 'self' https://matomo.incubateur.anct.gouv.fr 'unsafe-inline' 'unsafe-eval'; script-src-attr 'none'; style-src 'self' https: 'unsafe-inline'; img-src 'self' data: blob:; frame-src https://www.youtube-nocookie.com/; object-src 'none'; connect-src 'self' blob: https://la-base-uploads-main.s3.fr-par.scw.cloud https://matomo.incubateur.anct.gouv.fr https://sentry.incubateur.net https://openmaptiles.geo.data.gouv.fr https://openmaptiles.github.io https://aides-territoires.beta.gouv.fr; worker-src 'self' blob:; font-src 'self' https: data:; frame-ancestors 'self' https://matomo.incubateur.anct.gouv.fr; form-action 'self'; base-uri 'self'; upgrade-insecure-requests true;","",""
"X-XSS-Protection","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","1; mode=block","",""
"Cache-Control","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","private, no-cache, no-store, max-age=0, must-revalidate","",""
"banner_reverseproxy","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","--","","CWE-200"
"heartbleed","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
